year;country;genre;director;scripter;producer;premier_data;age_bound;duration;title;actors;rating;rus_title;budget;Nan

Год производства1999;СтранаСША;Жанрфэнтези, драма, криминал, детективслова;РежиссерФрэнк Дарабонт;СценарийФрэнк Дарабонт, Стивен Кинг;ПродюсерФрэнк Дарабонт, Дэвид Валдес;Премьера в мире6 декабря 1999, ...;Возраст16+;Время189 мин. / 03:09;NaN;Том ХэнксДэвид МорсБонни ХантМайкл Кларк ДунканДжеймс КромуэллМайкл ДжитерГрэм ГринДаг ХатчисонСэм РокуэллБарри Пеппер;9.1;NaN;Бюджет$60 000 000;
Год производства1994;СтранаСША;Жанрдрамаслова;РежиссерФрэнк Дарабонт;СценарийФрэнк Дарабонт, Стивен Кинг;ПродюсерЛиз Глоцер, Дэвид В. Лестер, Ники Марвин;Премьера в мире10 сентября 1994, ...;Возраст16+;Время142 мин. / 02:22;NaN;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;9.1;NaN;Бюджет$25 000 000;
Год производства2003;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Питер Джексон, ...;ПродюсерПитер Джексон, Eric Monette, Барри М. Осборн, ...;Премьера в мире1 декабря 2003, ...;Возраст12+;Время201 мин. / 03:21;The Lord of the Rings: The Return of the King;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Возвращение короля (2003);Бюджет$94 000 000;
Год производства2002;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Стивен Синклер, ...;ПродюсерПитер Джексон, Eric Monette, Барри М. Осборн, ...;Премьера в мире5 декабря 2002, ...;Возраст12+;Время179 мин. / 02:59;The Lord of the Rings: The Two Towers;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Две крепости (2002);Бюджет$94 000 000;
Год производства2001;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Питер Джексон, ...;ПродюсерПитер Джексон, Барри М. Осборн, Тим Сандерс, ...;Премьера в мире10 декабря 2001, ...;Возраст12+;Время178 мин. / 02:58;The Lord of the Rings: The Fellowship of the Ring;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Братство Кольца (2001);Бюджет$93 000 000;
Год производства2014;СтранаСША, Великобритания, Канада;Жанрфантастика, драма, приключенияслова;РежиссерКристофер Нолан;СценарийДжонатан Нолан, Кристофер Нолан;ПродюсерКристофер Нолан, Линда Обст, Эмма Томас, ...;Премьера в мире26 октября 2014, ...;Возраст16+;Время169 мин. / 02:49;Interstellar;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Интерстеллар (2014);Бюджет$165 000 000;
Год производства1994;СтранаСША;Жанркомедия, драма, история, мелодрама, военныйслова;РежиссерРоберт Земекис;СценарийЭрик Рот, Уинстон Грум;ПродюсерВенди Файнерман, Стив Старки, Стив Тиш, ...;Премьера в мире23 июня 1994, ...;Возраст12+;Время142 мин. / 02:22;Forrest Gump;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.9;Форрест Гамп (1994);Бюджет$55 000 000;
Год производства1973;СтранаСССР;Жанрфантастика, комедия, приключенияслова;РежиссерЛеонид Гайдай;СценарийВладлен Бахнов, Леонид Гайдай, Михаил Булгаков;NaN;Премьера в мире17 сентября 1973, ...;Возраст6+;Время88 мин. / 01:28;6+;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.8;Иван Васильевич меняет профессию (1973);NaN;
Год производства1994;СтранаСША;Жанрмультфильм, мюзикл, драма, приключения, семейныйслова;РежиссерРоджер Аллерс, Роб Минкофф;СценарийИрен Меччи, Джонатан Робертс, Линда Вулвертон, ...;ПродюсерДон Хан, Элис Дьюи, Сара МакАртур, ...;Премьера в мире12 июня 1994, ...;Возраст0+;Время88 мин. / 01:28;The Lion King;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.8;Король Лев (1994);Бюджет$45 000 000;
Год производства2017;СтранаСША;Жанрмультфильм, фэнтези, детектив, приключения, семейный, музыкаслова;РежиссерЛи Анкрич, Эдриан Молина;СценарийМэттью Олдрич, Эдриан Молина, Ли Анкрич, ...;ПродюсерДарла К. Андерсон, Мэри Элис Драмм, Джон Лассетер;Премьера в мире20 октября 2017, ...;Возраст12+;Время105 мин. / 01:45;Coco;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Тайна Коко (2017);Бюджет$175 000 000;
Год производства1993;СтранаСША;Жанрдрама, биография, история, военныйслова;РежиссерСтивен Спилберг;СценарийСтивен Зеллиан, Томас Кенилли;ПродюсерСтивен Спилберг, Кэтлин Кеннеди, Ирвинг Гловин, ...;Премьера в мире30 ноября 1993, ...;Возраст16+;Время195 мин. / 03:15;Schindler's List;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.8;Список Шиндлера (1993);Бюджет$22 000 000;
Год производства2019;СтранаИспания, Великобритания;Жанрмультфильм, семейный, комедия, приключенияслова;РежиссерСерхио Паблос, Карлос Мартинес Лопес;СценарийСерхио Паблос, Джим Махони, Зэк Льюис;ПродюсерГуставо Феррада, Мерседес Гамеро, Микель Лехарса, ...;Премьера в мире8 ноября 2019, ...;NaN;Время96 мин. / 01:36;NaN;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.6;NaN;Бюджет$40 000 000;
Год производства2008;СтранаСША;Жанрмультфильм, фантастика, приключения, семейныйслова;РежиссерЭндрю Стэнтон;СценарийЭндрю Стэнтон, Джим Рирдон, Пит Доктер;ПродюсерЛиндси Коллинз, Джон Лассетер, Джиллиан Либберт, ...;Премьера в мире21 июня 2008, ...;Возраст0+;Время98 мин. / 01:38;WALL·E;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.3;ВАЛЛ·И (2008);Бюджет$180 000 000;
Год производства1994;СтранаСША;Жанркриминал, драмаслова;РежиссерКвентин Тарантино;СценарийКвентин Тарантино, Роджер Эвери;ПродюсерЛоуренс Бендер, Дэнни ДеВито, Ричард Н. Гладштейн, ...;Премьера в мире21 мая 1994, ...;Возраст18+;Время154 мин. / 02:34;Pulp Fiction;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.6;Криминальное чтиво (1994);Бюджет$8 000 000;
Год производства1985;СтранаСША;Жанрфантастика, комедия, приключенияслова;РежиссерРоберт Земекис;СценарийРоберт Земекис, Боб Гейл;ПродюсерНил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...;Премьера в мире3 июля 1985, ...;Возраст12+;Время116 мин. / 01:56;Back to the Future;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.6;Назад в будущее (1985);Бюджет$19 000 000;
Год производства2010;СтранаСША, Великобритания;Жанрфантастика, боевик, триллер, драма, детективслова;РежиссерКристофер Нолан;СценарийКристофер Нолан;ПродюсерКристофер Нолан, Эмма Томас, Закария Алауи, ...;Премьера в мире8 июля 2010, ...;Возраст12+;Время148 мин. / 02:28;Inception;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.7;Начало (2010);Бюджет$160 000 000;
Год производства2001;СтранаЯпония;Жанраниме, мультфильм, фэнтези, приключения, семейныйслова;РежиссерХаяо Миядзаки;СценарийХаяо Миядзаки;ПродюсерТосио Судзуки, Хиронори Аихара, Ясуёси Токума, ...;Премьера в мире20 июля 2001, ...;Возраст12+;Время125 мин. / 02:05;Sen to Chihiro no kamikakushi;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.4;Унесённые призраками (2001);Бюджет$19 000 000;
Год производства2011;СтранаФранция;Жанрдрама, комедия, биографияслова;РежиссерОливье Накаш, Эрик Толедано;СценарийОливье Накаш, Филипп Поццо ди Борго, Эрик Толедано;ПродюсерНиколя Дюваль-Адассовски, Лоран Зэйтун, Ян Зеноу, ...;Премьера в мире23 сентября 2011, ...;Возраст16+;Время112 мин. / 01:52;Intouchables;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.8;1+1 (2011);Бюджет€9 500 000;
Год производства1965;СтранаСССР;Жанркомедия, мелодрама, криминалслова;РежиссерЛеонид Гайдай;СценарийЛеонид Гайдай, Яков Костюковский, Морис Слободской;NaN;Премьера в мире23 июля 1965, ...;Возраст6+;Время95 мин. / 01:35;6+;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.7;Операция «Ы» и другие приключения Шурика (1965);NaN;
Год производства1971;СтранаСССР;Жанрдрама, комедия, криминал, детективслова;РежиссерАлександр Серый;СценарийГеоргий Данелия, Виктория Токарева;NaN;Премьера в мире13 декабря 1971, ...;Возраст6+;Время84 мин. / 01:24;6+;Джейсон ШварцманДж.К. СиммонсДжоан КьюсакРашида ДжонсУилл СассоНеда Маргрете ЛаббаСерхио ПаблосНорм МакДональдИвэн АгосСкай Алексис;8.5;Джентльмены удачи (1971);NaN;
Год производства1973;СтранаСССР;Жанрвоенный, драма, комедияслова;РежиссерЛеонид Быков;СценарийЛеонид Быков, Евгений Оноприенко, Александр Сацкий;NaN;Премьера в мире12 августа 1974, ...;Возраст12+;Время87 мин. / 01:27;NaN;Леонид БыковСергей ПодгорныйСергей ИвановРустам СагдуллаевЕвгения СимоноваОльга МатешкоВладимир ТалашкоАлексей СмирновВиктор МирошниченкоГригорий Гладий;8.7;NaN;Бюджет$500 000;
Год производства1981;СтранаСССР;Жанрдетектив, криминал, приключенияслова;РежиссерИгорь Масленников;СценарийИгорь Масленников, Артур Конан Дойл, Юрий Векслер;NaN;Премьера в мире25 июля 1981;Возраст6+;Время154 мин. / 02:34;6+;Леонид БыковСергей ПодгорныйСергей ИвановРустам СагдуллаевЕвгения СимоноваОльга МатешкоВладимир ТалашкоАлексей СмирновВиктор МирошниченкоГригорий Гладий;8.6;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (ТВ, 1981);NaN;
Год производства2000;СтранаВеликобритания, США;Жанркриминал, комедия, боевикслова;РежиссерГай Ричи;СценарийГай Ричи;ПродюсерМэттью Вон, Майкл Дрейер, Стефен Маркс, ...;Премьера в мире23 августа 2000, ...;Возраст16+;Время104 мин. / 01:44;Snatch;Леонид БыковСергей ПодгорныйСергей ИвановРустам СагдуллаевЕвгения СимоноваОльга МатешкоВладимир ТалашкоАлексей СмирновВиктор МирошниченкоГригорий Гладий;8.5;Большой куш (2000);Бюджет$10 000 000;
Год производства2009;СтранаСША;Жанртриллер, детектив, драмаслова;РежиссерМартин Скорсезе;СценарийЛаэта Калогридис, Деннис Лихейн;ПродюсерБрэдли Дж. Фишер, Майк Медавой, Мартин Скорсезе, ...;Премьера в мире13 февраля 2010, ...;Возраст18+;Время138 мин. / 02:18;Shutter Island;Леонид БыковСергей ПодгорныйСергей ИвановРустам СагдуллаевЕвгения СимоноваОльга МатешкоВладимир ТалашкоАлексей СмирновВиктор МирошниченкоГригорий Гладий;8.5;Остров проклятых (2009);Бюджет$80 000 000;
Год производства1999;СтранаСША, Австралия;Жанрфантастика, боевикслова;РежиссерЛана Вачовски, Лилли Вачовски;СценарийЛилли Вачовски, Лана Вачовски;ПродюсерДжоэл Силвер, Брюс Берман, Дэн Краччиоло, ...;Премьера в мире24 марта 1999, ...;Возраст16+;Время136 мин. / 02:16;The Matrix;Леонид БыковСергей ПодгорныйСергей ИвановРустам СагдуллаевЕвгения СимоноваОльга МатешкоВладимир ТалашкоАлексей СмирновВиктор МирошниченкоГригорий Гладий;8.5;Матрица (1999);Бюджет$63 000 000;
Год производства1997;СтранаГермания;Жанрдрама, комедия, криминалслова;РежиссерТомас Ян;СценарийТомас Ян, Тиль Швайгер;ПродюсерАндре Хеннике, Тиль Швайгер, Вольфганг Браун, ...;Премьера в мире20 февраля 1997, ...;Возраст16+;Время87 мин. / 01:27;NaN;Тиль ШвайгерЯн Йозеф ЛиферсТьерри Ван ВервекеМориц БляйбтройХуб СтапельЛеонард ЛансинкРальф ХерфортКорнелия ФробёссРутгер ХауэрУилли Томчик;8.6;NaN;БюджетDEM 4 300 000;
Год производства2003;СтранаСША;Жанрфэнтези, боевик, приключенияслова;РежиссерГор Вербински;СценарийТед Эллиот, Терри Россио, Стюарт Битти, ...;ПродюсерДжерри Брукхаймер, Пол Дисон, Брюс Хендрикс, ...;Премьера в мире28 июня 2003, ...;Возраст12+;Время143 мин. / 02:23;Pirates of the Caribbean: The Curse of the Black Pearl;Тиль ШвайгерЯн Йозеф ЛиферсТьерри Ван ВервекеМориц БляйбтройХуб СтапельЛеонард ЛансинкРальф ХерфортКорнелия ФробёссРутгер ХауэрУилли Томчик;8.3;Пираты Карибского моря: Проклятие Черной жемчужины (2003);Бюджет$140 000 000;
Год производства1979;СтранаСССР;Жанрдрама, мелодрама, комедияслова;РежиссерВладимир Меньшов;СценарийВалентин Черных;NaN;Премьера в мире11 февраля 1980, ...;Возраст16+;Время150 мин. / 02:30;16+;Тиль ШвайгерЯн Йозеф ЛиферсТьерри Ван ВервекеМориц БляйбтройХуб СтапельЛеонард ЛансинкРальф ХерфортКорнелия ФробёссРутгер ХауэрУилли Томчик;8.4;Москва слезам не верит (1979);Бюджет$900 000;
Год производства1999;СтранаСША, Германия;Жанртриллер, драма, криминалслова;РежиссерДэвид Финчер;СценарийДжим Улс, Чак Паланик;ПродюсерРосс Грэйсон Белл, Сиан Чаффин, Джон С. Дорси, ...;Премьера в мире10 сентября 1999, ...;Возраст18+;Время139 мин. / 02:19;Fight Club;Тиль ШвайгерЯн Йозеф ЛиферсТьерри Ван ВервекеМориц БляйбтройХуб СтапельЛеонард ЛансинкРальф ХерфортКорнелия ФробёссРутгер ХауэрУилли Томчик;8.6;Бойцовский клуб (1999);Бюджет$63 000 000;
Год производства2019;СтранаВеликобритания, США;Жанркриминал, комедия, боевикслова;РежиссерГай Ричи;СценарийГай Ричи, Айван Эткинсон, Марн Дэвис, ...;ПродюсерМэттью Андерсон, Айван Эткинсон, Билл Блок, ...;Премьера в мире3 декабря 2019, ...;Возраст18+;Время113 мин. / 01:53;NaN;Мэттью МакКонахиЧарли ХаннэмГенри ГолдингХью ГрантМишель ДокериДжереми СтронгЭдди МарсанДжейсон ВонгКолин ФарреллЛайн Рени;8.5;NaN;Бюджет$22 000 000;
Год производства2020;СтранаСША;Жанрмультфильм, фэнтези, комедия, приключения, семейный, музыкаслова;РежиссерПит Доктер, Кемп Пауэрс;СценарийПит Доктер, Майк Джонс, Кемп Пауэрс;ПродюсерКири Зупер, Валери ЛаПойнт, Дана Мюррэй, ...;Премьера в мире11 октября 2020, ...;Возраст6+;Время106 мин. / 01:46;Soul;Мэттью МакКонахиЧарли ХаннэмГенри ГолдингХью ГрантМишель ДокериДжереми СтронгЭдди МарсанДжейсон ВонгКолин ФарреллЛайн Рени;8.4;Душа (2020);Бюджет$150 000 000;
Год производства1972;СтранаСССР;Жанрдрама, военный, историяслова;РежиссерСтанислав Ростоцкий;СценарийСтанислав Ростоцкий, Борис Васильев;NaN;Премьера в мире27 августа 1972, ...;Возраст12+;Время160 мин. / 02:40;12+;Мэттью МакКонахиЧарли ХаннэмГенри ГолдингХью ГрантМишель ДокериДжереми СтронгЭдди МарсанДжейсон ВонгКолин ФарреллЛайн Рени;8.5;...А зори здесь тихие (1972);NaN;
Год производства2001;СтранаСША;Жанрмультфильм, фэнтези, комедия, приключения, семейныйслова;РежиссерЭндрю Адамсон, Вики Дженсон;СценарийТед Эллиот, Терри Россио, Джо Стиллман, ...;ПродюсерДжеффри Катценберг, Арон Уорнер, Джон Х. Уильямс, ...;Премьера в мире22 апреля 2001, ...;Возраст6+;Время90 мин. / 01:30;Shrek;Мэттью МакКонахиЧарли ХаннэмГенри ГолдингХью ГрантМишель ДокериДжереми СтронгЭдди МарсанДжейсон ВонгКолин ФарреллЛайн Рени;8.0;Шрэк (2001);Бюджет$60 000 000;
Год производства1956;СтранаСША;Жанрдрама, детектив, криминалслова;РежиссерСидни Люмет;СценарийРеджинальд Роуз;ПродюсерГенри Фонда, Реджинальд Роуз, Джордж Джастин;Премьера в мире10 апреля 1957, ...;Возраст16+;Время96 мин. / 01:36;NaN;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.5;NaN;Бюджет$340 000;
Год производства2006;СтранаВеликобритания, США;Жанрфантастика, триллер, драма, детективслова;РежиссерКристофер Нолан;СценарийДжонатан Нолан, Кристофер Нолан, Кристофер Прист;ПродюсерКристофер Нолан, Аарон Райдер, Эмма Томас, ...;Премьера в мире17 октября 2006, ...;Возраст16+;Время125 мин. / 02:05;The Prestige;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.5;Престиж (2006);Бюджет$40 000 000;
Год производства1997;СтранаРоссия;Жанрдрама, криминал, боевикслова;РежиссерАлексей Балабанов;СценарийАлексей Балабанов;ПродюсерСергей Сельянов;Премьера в мире17 мая 1997, ...;Возраст16+;Время100 мин. / 01:40;16+;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.2;Брат (1997);NaN;
Год производства1988;СтранаСССР;Жанрмультфильм, приключения, мюзикл, комедияслова;РежиссерДавид Черкасский;СценарийЮрий Аликов, Роберт Льюис Стивенсон;NaN;Премьера в мире24 марта 1989;Возраст6+;Время107 мин. / 01:47;6+;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.2;Остров сокровищ (1988);NaN;
Год производства1990;СтранаСША;Жанркомедия, семейныйслова;РежиссерКрис Коламбус;СценарийДжон Хьюз;ПродюсерТарквин Готч, Джон Хьюз, Марк Левинсон, ...;Премьера в мире10 ноября 1990, ...;Возраст0+;Время103 мин. / 01:43;Home Alone;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.2;Один дома (1990);Бюджет$18 000 000;
Год производства2008;СтранаСША, Великобритания;Жанрфантастика, боевик, триллер, криминал, драмаслова;РежиссерКристофер Нолан;СценарийКристофер Нолан, Джонатан Нолан, Дэвид С. Гойер, ...;ПродюсерКристофер Нолан, Чарльз Ровен, Эмма Томас, ...;Премьера в мире14 июля 2008, ...;Возраст16+;Время152 мин. / 02:32;The Dark Knight;Генри ФондаМартин БолсамЛи Дж. КоббДжозеф СуиниЭд БеглиДжордж ВосковекДжон ФидлерЭ. Г. МаршаллДжек КлагменЭд Биннс;8.5;Темный рыцарь (2008);Бюджет$185 000 000;
Год производства1991;СтранаСША, Франция;Жанрфантастика, боевик, триллерслова;РежиссерДжеймс Кэмерон;СценарийДжеймс Кэмерон, Уильям Уишер мл.;ПродюсерСтефани Остин, Джеймс Кэмерон, Гейл Энн Хёрд, ...;Премьера в мире1 июля 1991, ...;Возраст18+;Время137 мин. / 02:17;NaN;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.3;NaN;Бюджет$102 000 000;
Год производства2009;СтранаСША;Жанрдрама, спорт, биографияслова;РежиссерДжон Ли Хэнкок;СценарийДжон Ли Хэнкок, Майкл Льюис;ПродюсерБродерик Джонсон, Эндрю А. Косов, Джил Неттер, ...;Премьера в мире17 ноября 2009, ...;Возраст16+;Время129 мин. / 02:09;The Blind Side;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.2;Невидимая сторона (2009);Бюджет$29 000 000;
Год производства2004;СтранаВеликобритания, США;Жанрфэнтези, приключения, семейныйслова;РежиссерАльфонсо Куарон;СценарийСтивен Кловз, Дж.К. Роулинг;ПродюсерКрис Коламбус, Дэвид Хейман, Марк Рэдклифф, ...;Премьера в мире23 мая 2004, ...;Возраст12+;Время142 мин. / 02:22;Harry Potter and the Prisoner of Azkaban;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.2;Гарри Поттер и узник Азкабана (2004);Бюджет$130 000 000;
Год производства1989;СтранаСША;Жанрфантастика, приключения, боевик, комедия, семейныйслова;РежиссерРоберт Земекис;СценарийРоберт Земекис, Боб Гейл;ПродюсерНил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...;Премьера в мире20 ноября 1989, ...;Возраст12+;Время108 мин. / 01:48;Back to the Future Part II;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.3;Назад в будущее 2 (1989);Бюджет$40 000 000;
Год производства2001;СтранаСША;Жанрдрама, биография, мелодрамаслова;РежиссерРон Ховард;СценарийАкива Голдсман, Сильвия Насар;ПродюсерБрайан Грейзер, Рон Ховард, Тодд Халлоуэлл, ...;Премьера в мире13 декабря 2001, ...;Возраст12+;Время135 мин. / 02:15;A Beautiful Mind;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.6;Игры разума (2001);Бюджет$58 000 000;
Год производства2001;СтранаВеликобритания, США;Жанрфэнтези, приключения, семейныйслова;РежиссерКрис Коламбус;СценарийСтивен Кловз, Дж.К. Роулинг;ПродюсерТодд Арноу, Майкл Барнатан, Крис Коламбус, ...;Премьера в мире4 ноября 2001, ...;Возраст12+;Время152 мин. / 02:32;Harry Potter and the Sorcerer's Stone;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.2;Гарри Поттер и философский камень (2001);Бюджет$125 000 000;
Год производства2000;СтранаСША, Великобритания, Мальта, Марокко;Жанрбоевик, история, драма, приключенияслова;РежиссерРидли Скотт;СценарийДэвид Францони, Джон Логан, Уильям Николсон;ПродюсерДэвид Францони, Бранко Лустиг, Дуглас Уик, ...;Премьера в мире1 мая 2000, ...;Возраст16+;Время155 мин. / 02:35;Gladiator;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.6;Гладиатор (2000);Бюджет$103 000 000;
Год производства2013;СтранаСША;Жанрдрама, музыкаслова;РежиссерДэмьен Шазелл;СценарийДэмьен Шазелл;ПродюсерДжейсон Блум, Хелен Эстабрук, Дэвид Ланкастер, ...;Премьера в мире16 января 2014, ...;Возраст16+;Время106 мин. / 01:46;Whiplash;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.3;Одержимость (2013);Бюджет$3 300 000;
Год производства1988;СтранаСССР;Жанрфантастика, драма, комедияслова;РежиссерВладимир Бортко;СценарийНаталия Бортко, Михаил Булгаков;NaN;Премьера в мире19 ноября 1988, ...;Возраст12+;Время136 мин. / 02:16;12+;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.3;Собачье сердце (ТВ, 1988);NaN;
Год производства2012;СтранаСША;Жанрвестерн, боевик, драма, комедияслова;РежиссерКвентин Тарантино;СценарийКвентин Тарантино;ПродюсерРеджинальд Хадлин, Пилар Савон, Стейси Шер, ...;Премьера в мире11 декабря 2012, ...;Возраст18+;Время165 мин. / 02:45;Django Unchained;Арнольд ШварценеггерЛинда ХэмилтонЭдвард ФерлонгРоберт ПатрикЭрл БоэнДжо МортонС. Ипейта МеркерсонКастуло ГерраДэнни КуксиДженетт Голдстин;8.2;Джанго освобожденный (2012);Бюджет$100 000 000;
Год производства1994;СтранаФранция, США;Жанрбоевик, триллер, драма, криминалслова;РежиссерЛюк Бессон;СценарийЛюк Бессон;ПродюсерКлод Бессон, Джон Гарлэнд, Бернард Гренет, ...;Премьера в мире14 сентября 1994, ...;Возраст16+;Время133 мин. / 02:13;NaN;Жан РеноНатали ПортманГари ОлдманДэнни АйеллоПитер ЭппелУилли Уан БладДон КричКит А. ГласкоРэндольф СкоттМайкл Бадалукко;8.7;NaN;БюджетFRF 115 000 000;
Год производства2006;СтранаСША;Жанртриллер, драма, криминалслова;РежиссерМартин Скорсезе;СценарийУильям Монахэн, Алан Мак, Феликс Чон;ПродюсерБрэд Грэй, Грэм Кинг, Джанни Нуннари, ...;Премьера в мире26 сентября 2006, ...;Возраст16+;Время151 мин. / 02:31;NaN;Леонардо ДиКаприоМэтт ДэймонДжек НиколсонМарк УолбергМартин ШинРэй УинстонВера ФармигаЭнтони АндерсонАлек БолдуинКевин Корригэн;8.5;NaN;Бюджет$90 000 000;
